Date	Time	Severity	PID	TID	Function	Message
03-12-2024	17:52:24.297	 INFO	 71528	 84464	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
03-12-2024	17:52:24.298	 INFO	 71528	 89744	LateInitialization	"Intialization..."
03-12-2024	17:52:24.299	 INFO	 71528	 89744	LateInitialization	"Exe = C:\Users\yashg1\AppData\Local\Programs\Git\usr\bin\bash.exe"
03-12-2024	17:52:24.300	 INFO	 71528	 89744	LateInitialization	"IsExplorer = 0"
03-12-2024	17:52:24.300	 INFO	 71528	 89744	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-12-2024	17:52:24.301	 INFO	 71528	 89744	LateInitialization	"Intialization finished"
03-12-2024	17:57:23.523	 INFO	 93312	 91688	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
03-12-2024	17:57:23.524	 INFO	 93312	 89732	LateInitialization	"Intialization..."
03-12-2024	17:57:23.524	 INFO	 93312	 89732	LateInitialization	"Exe = C:\Users\yashg1\AppData\Local\Programs\Git\usr\bin\bash.exe"
03-12-2024	17:57:23.525	 INFO	 93312	 89732	LateInitialization	"IsExplorer = 0"
03-12-2024	17:57:23.525	 INFO	 93312	 89732	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-12-2024	17:57:23.526	 INFO	 93312	 89732	LateInitialization	"Intialization finished"
03-12-2024	17:57:48.527	 INFO	 93800	 89868	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
03-12-2024	17:57:48.528	 INFO	 93800	 90576	LateInitialization	"Intialization..."
03-12-2024	17:57:48.529	 INFO	 93800	 90576	LateInitialization	"Exe = C:\Users\yashg1\AppData\Local\Programs\Git\usr\bin\bash.exe"
03-12-2024	17:57:48.529	 INFO	 93800	 90576	LateInitialization	"IsExplorer = 0"
03-12-2024	17:57:48.530	 INFO	 93800	 90576	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-12-2024	17:57:48.531	 INFO	 93800	 90576	LateInitialization	"Intialization finished"
03-12-2024	18:08:32.596	 INFO	 93212	 75764	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
03-12-2024	18:08:32.597	 INFO	 93212	 93664	LateInitialization	"Intialization..."
03-12-2024	18:08:32.597	 INFO	 93212	 93664	LateInitialization	"Exe = C:\Users\yashg1\AppData\Local\Programs\Git\usr\bin\bash.exe"
03-12-2024	18:08:32.598	 INFO	 93212	 93664	LateInitialization	"IsExplorer = 0"
03-12-2024	18:08:32.598	 INFO	 93212	 93664	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-12-2024	18:08:32.599	 INFO	 93212	 93664	LateInitialization	"Intialization finished"
